blank,input_path,input_sample,output_folder,polygon_folder,polygon_list
1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_01,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_01/polygon_maker,STR
2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_02,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_02/polygon_maker,STR
3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_03,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_03/polygon_maker,STR
4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_04,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_04/polygon_maker,STR
5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_05,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_05/polygon_maker,STR
6,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_06,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_06/polygon_maker,STR
7,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_07,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_07/polygon_maker,STR
8,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_08,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_08/polygon_maker,STR
9,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_09,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_09/polygon_maker,STR
10,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_10,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_10/polygon_maker,STR
11,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_11,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_11/polygon_maker,STR
12,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_12,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_12/polygon_maker,STR
13,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_13,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_13/polygon_maker,STR
14,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_14,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_14/polygon_maker,STR
15,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_15,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_15/polygon_maker,STR
16,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_16,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_16/polygon_maker,STR
17,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_17,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_17/polygon_maker,STR
18,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/,STR_18,SlideDO_Filter_3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_18/polygon_maker,STR
